Customer_Number,FirstOfCustomer_Name,FirstOfCity,FirstOfState
17214,HULCUM Corp.,SIOUX FALLS,SD
17216,SUASHD Corp.,PIERRE,SD
17218,BASLUS Corp.,SIOUX FALLS,SD
17236,GROHOM Corp.,WORTHINGTON,MN
17273,RAMPAR Corp.,CANISTOTA,SD
17286,REBANS Corp.,YANKTON,SD
17296,OSHUSM Corp.,SPENCER,IA
17304,SAUAXF Corp.,SIOUX FALLS,SD
17309,PORKVA Corp.,MONTEVIDEO,MN
17310,OMUSAC Corp.,MITCHELL,SD
17344,ULSUN Corp.,MARSHALL,MN
17347,CATCO Corp.,SIOUX FALLS,SD
17371,SPUNCU Corp.,SPENCER,IA
17394,HNCHU Corp.,SPENCER,IA
17422,GRUATP Corp.,SIOUX FALLS,SD
17423,SUASHW Corp.,TYLER,MN
17460,WALLAU Corp.,SIOUX FALLS,SD
17466,ULATEB Corp.,SIOUX FALLS,SD
17467,SUASHD Corp.,WATERTOWN,SD
17473,HABCAT Corp.,BROOKINGS,SD
17477,MCLUPD Corp.,MITCHELL,SD
17481,SDDUQT Corp.,HURON,SD
17491,LATHAA Corp.,SIOUX FALLS,SD
17497,DUMCOA Corp.,BOYDEN,IA
17530,ANTUSA Corp.,SIOUX FALLS,SD
17563,EBUSDU Corp.,ABERDEEN,SD
17576,GORYSG Corp.,SIOUX FALLS,SD
17586,NUSTHU Corp.,ABERDEEN,SD
17593,WUTTAN Corp.,ST JAMES,MN
17612,NUSDST Corp.,GARRETSON,SD
17669,GROHOM Corp.,SIOUX FALLS,SD
17672,ANTUSS Corp.,SPENCER,IA
17710,MANNUT Corp.,CANBY,MN
17757,EBUTBR Corp.,SIOUX FALLS,SD
17811,MOGAAR Corp.,SIOUX FALLS,SD
17825,TATANM Corp.,MARSHALL,MN
17854,UTTHUS Corp.,ESTHERVILLE,IA
17881,PAUSSU Corp.,SPENCER,IA
17899,TUSOCO Corp.,WINDOM,MN
17903,NUSTHW Corp.,SHELDON,IA
17938,BUSKLU Corp.,SPIRIT LAKE,IA
17940,SCUUTS Corp.,MITCHELL,SD
17953,WUGNUS Corp.,PIERRE,SD
17954,JAMSEA Corp.,SIOUX FALLS,SD
18065,CRAMSU Corp.,BRANDON,SD
18096,HABCAT Corp.,ABERDEEN,SD
18130,HUAREO Corp.,MADELIA,MN
18151,PLANTA Corp.,BOISE,ID
18203,TARUTW Corp.,BURLEY,ID
18302,CUMMUS Corp.,BOISE,ID
18410,HANAGA Corp.,PAYETTE,ID
18436,DYKUTU Corp.,POCATELLO,ID
18462,LUTSCH Corp.,MOUNTAIN HOME,ID
18507,BUASE Corp.,BOISE,ID
18540,BUASEC Corp.,BOISE,ID
18576,BLAEPR Corp.,BOISE,ID
18609,CUSRUC Corp.,BOISE,ID
18619,CUMMUS Corp.,POCATELLO,ID
18622,RUGAUN Corp.,BOISE,ID
18637,ADOHOF Corp.,BOISE,ID
18646,NOGULB Corp.,BOISE,ID
18651,UPGLER Corp.,IDAHO FALLS,ID
18707,BUASEA Corp.,BOISE,ID
18778,LUTSCH Corp.,EMMETT,ID
18894,BUASET Corp.,BOISE,ID
18987,MOGNUU Corp.,BLACKFOOT,ID
19052,DAOMUN Corp.,CALDWELL,ID
19322,ADOHOC Corp.,TWIN FALLS,ID
19328,UNTORA Corp.,ONTARIO,OR
19339,CAMMAN Corp.,BOISE,ID
19386,PHALSE Corp.,CALDWELL,ID
19457,SAMPLU Corp.,TWIN FALLS,ID
19520,COXTUN Corp.,CALDWELL,ID
19594,LATHUG Corp.,BOISE,ID
23173,TRUATL Corp.,WASHINGTON,NJ
23305,LOMBPR Corp.,HACKETTSTOWN,NJ
23851,ANCHUS Corp.,HARMONY,NJ
23951,CHTRA Corp.,PHILLIPSBURG,NJ
24244,UWUNSA Corp.,BELVIDERE,NJ
51961,PORLUC Corp.,FAIRPORT,NY
51967,FANGUS Corp.,SONYEA,NY
51983,UPSTMA Corp.,ROCHESTER,NY
51995,HALUCA Corp.,ARCADE,NY
52010,CUNRUY Corp.,JAVA CENTER,NY
52042,SUSVAC Corp.,ROCHESTER,NY
52080,ARPUTT Corp.,ROCHESTER,NY
52156,PUKOPR Corp.,ROCHESTER,NY
52185,LECART Corp.,PITTSFORD,NY
